,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
97,5,1,1,1,15,1,658,1902,328,52,21.982613,PAIROFHAND
98,4,1,1,1,16,0,658,1954,470,40,-1.0,
99,5,1,1,1,16,1,658,1954,198,40,93.145393,LENGTH:
100,5,1,1,1,16,2,876,1954,252,40,71.875496,10/13.50MM
101,4,1,1,1,17,0,658,2008,316,40,-1.0,
102,5,1,1,1,17,1,658,2010,196,38,95.785408,CALIBRE
103,5,1,1,1,17,2,866,2008,108,40,96.798347,2868
104,4,1,1,1,18,0,658,2112,1466,56,-1.0,
105,5,1,1,1,18,1,658,2128,194,40,79.298843,SPECIAL
106,5,1,1,1,18,2,868,2128,240,40,96.178635,DISCOUNT
107,5,1,1,1,18,3,1634,2130,182,38,46.063423,“3003.00
108,5,1,1,1,18,4,1942,2112,182,56,54.472637,-3003.00
109,4,1,1,1,19,0,658,2228,1466,44,-1.0,
110,5,1,1,1,19,1,658,2232,197,40,22.974007,Discount
111,5,1,1,1,19,2,1600,2230,2,2,0.0,~
112,5,1,1,1,19,3,1662,2228,158,44,0.0, -900.00
113,5,1,1,1,19,4,1968,2232,156,38,91.40593,-900.00
114,4,1,1,1,20,0,656,2362,1468,38,-1.0,
115,5,1,1,1,20,1,656,2363,110,37,93.399567,Total
116,5,1,1,1,20,2,782,2362,94,38,96.568474,CHF
117,5,1,1,1,20,3,1957,2362,167,38,88.691452,2100.00
118,4,1,1,1,21,0,366,2504,434,32,-1.0,
119,5,1,1,1,21,1,366,2504,152,32,96.292679,RETURN
120,5,1,1,1,21,2,528,2504,124,32,96.036873,AFTER
121,5,1,1,1,21,3,664,2504,136,32,96.757317,REPAIR
122,4,1,1,1,22,0,365,2576,449,40,-1.0,
123,5,1,1,1,22,1,365,2580,53,32,96.784973,NO
124,5,1,1,1,22,2,430,2576,254,40,96.131447,COMMERCIAL
125,5,1,1,1,22,3,691,2580,123,30,96.934303,VALUE
126,4,1,1,1,23,0,1686,2812,189,50,-1.0,
127,5,1,1,1,23,1,1686,2812,189,50,94.821014,Payment:
128,4,1,1,1,24,0,1684,2890,223,38,-1.0,
129,5,1,1,1,24,1,1684,2894,50,29,95.651527,Mr.
130,5,1,1,1,24,2,1744,2890,84,38,59.419281,John
131,5,1,1,1,24,3,1840,2894,67,32,95.068901,Doe
132,4,1,1,1,25,0,1682,2936,416,44,-1.0,
133,5,1,1,1,25,1,1682,2936,102,44,96.719597,Green
134,5,1,1,1,25,2,1794,2936,104,32,96.384888,Street
135,5,1,1,1,25,3,1911,2936,44,34,96.855408,"15,"
136,5,1,1,1,25,4,1970,2936,100,32,92.901978,Office
137,5,1,1,1,25,5,2078,2938,20,28,95.952888,4
138,4,1,1,1,26,0,1684,2980,212,36,-1.0,
139,5,1,1,1,26,1,1684,2980,80,32,80.965942,4234
140,5,1,1,1,26,2,1774,2980,122,36,92.584579,Vermut
141,4,1,1,1,27,0,1684,3024,250,32,-1.0,
142,5,1,1,1,27,1,1684,3024,74,30,96.702705,New
143,5,1,1,1,27,2,1768,3024,166,32,96.125893,Caledonia
144,4,1,1,1,28,0,1683,3110,283,34,-1.0,
145,5,1,1,1,28,1,1683,3110,101,34,96.253174,Credit
146,5,1,1,1,28,2,1792,3110,88,34,96.658661,Card:
147,5,1,1,1,28,3,1890,3111,76,33,93.235565,Visa
148,4,1,1,1,29,0,1682,3152,346,32,-1.0,
149,5,1,1,1,29,1,1682,3152,80,32,95.908882,Card
150,5,1,1,1,29,2,1774,3154,54,30,94.836609,No:
151,5,1,1,1,29,3,1846,3152,182,32,95.058357,112345678
